District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,_orig_id,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Bandarban,Kharif 2,Arhar,64.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,243.94444444444449,17.0,pigeonpeas,65,1,1,1,13,2.8903717578961645
Bogura,Kharif 2,Arhar,6.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,142.85416666666666,2.0,pigeonpeas,69,1,5,1,13,1.0986122886681098
Chapai Nawabganj,Kharif 2,Arhar,50.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,19.0,pigeonpeas,72,1,8,1,13,2.995732273553991
Chattogram,Kharif 2,Arhar,35.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,243.94444444444449,23.0,pigeonpeas,73,1,9,1,13,3.1780538303479458
Chuadanga,Kharif 2,Arhar,24.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,129.44444444444446,6.0,pigeonpeas,74,1,10,1,13,1.9459101490553132
CoxsBazar,Kharif 2,Arhar,2.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,303.40277777777777,4.0,pigeonpeas,75,1,11,1,13,1.6094379124341003
Dinajpur,Kharif 2,Arhar,15.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,154.21843434343435,4.0,pigeonpeas,78,1,14,1,13,1.6094379124341003
Faridpur,Kharif 2,Arhar,5.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,155.864898989899,2.0,pigeonpeas,79,1,15,1,13,1.0986122886681098
Feni,Kharif 2,Arhar,11.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,248.1727642276423,2.0,pigeonpeas,80,1,16,1,13,1.0986122886681098
Gaibandha,Kharif 2,Arhar,49.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,29.0,pigeonpeas,81,1,17,1,13,3.4011973816621555
Jamalpur,Kharif 2,Arhar,8.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,2.0,pigeonpeas,85,1,21,1,13,1.0986122886681098
Jashore,Kharif 2,Arhar,12.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,134.2247474747475,4.0,pigeonpeas,86,1,22,1,13,1.6094379124341003
Joypurhat,Kharif 2,Arhar,20.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,142.85416666666666,8.0,pigeonpeas,89,1,25,1,13,2.1972245773362196
Khagrachari,Kharif 2,Arhar,29.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,204.11111111111111,9.0,pigeonpeas,90,1,26,1,13,2.302585092994046
Kurigram,Kharif 2,Arhar,61.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,18.0,pigeonpeas,93,1,29,1,13,2.9444389791664403
Kushtia,Kharif 2,Arhar,91.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,129.44444444444446,43.0,pigeonpeas,94,1,30,1,13,3.784189633918261
Lakshmipur,Kharif 2,Arhar,14.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.7563131313132,2.0,pigeonpeas,95,1,31,1,13,1.0986122886681098
Lalmonirhat,Kharif 2,Arhar,7.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,1.0,pigeonpeas,96,1,32,1,13,0.6931471805599453
Magura,Kharif 2,Arhar,11.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,134.2247474747475,3.0,pigeonpeas,98,1,34,1,13,1.3862943611198906
Meherpur,Kharif 2,Arhar,16.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,129.44444444444446,6.0,pigeonpeas,100,1,36,1,13,1.9459101490553132
Moulvibazar,Kharif 2,Arhar,26.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,333.72557471264366,7.0,pigeonpeas,101,1,37,1,13,2.0794415416798357
Munshiganj,Kharif 2,Arhar,12.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,3.0,pigeonpeas,102,1,38,1,13,1.3862943611198906
Naogaon,Kharif 2,Arhar,132.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,55.0,pigeonpeas,104,1,40,1,13,4.02535169073515
Natore,Kharif 2,Arhar,15.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,3.0,pigeonpeas,108,1,44,1,13,1.3862943611198906
Netrokona,Kharif 2,Arhar,8.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,3.0,pigeonpeas,109,1,45,1,13,1.3862943611198906
Noakhali,Kharif 2,Arhar,40.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.7563131313132,10.0,pigeonpeas,111,1,47,1,13,2.3978952727983707
Pabna,Kharif 2,Arhar,7.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,5.0,pigeonpeas,112,1,48,1,13,1.791759469228055
Rajbari,Kharif 2,Arhar,33.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,155.864898989899,9.0,pigeonpeas,116,1,52,1,13,2.302585092994046
Rajshahi,Kharif 2,Arhar,6.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,1.0,pigeonpeas,117,1,53,1,13,0.6931471805599453
Rangamati,Kharif 2,Arhar,151.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,204.11111111111111,80.0,pigeonpeas,118,1,54,1,13,4.394449154672439
Rangpur,Kharif 2,Arhar,83.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,61.0,pigeonpeas,119,1,55,1,13,4.127134385045092
Sherpur,Kharif 2,Arhar,8.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,3.0,pigeonpeas,122,1,58,1,13,1.3862943611198906
Thakurgaon,Kharif 2,Arhar,40.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,154.21843434343435,14.0,pigeonpeas,127,1,63,1,13,2.70805020110221
Bagerhat,Kharif 1,Aus,14355.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,144.96843434343435,16061.0,rice,128,0,0,2,15,9.684211512748407
Bandarban,Kharif 1,Aus,30323.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,243.94444444444449,24465.0,rice,129,0,1,2,15,10.105039677606861
Barishal,Kharif 1,Aus,44719.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,33829.0,rice,131,0,3,2,15,10.429103261774754
Bogura,Kharif 1,Aus,79878.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,142.85416666666666,78226.0,rice,133,0,5,2,15,11.267370135484136
Brahmanbaria,Kharif 1,Aus,28171.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.7563131313132,29411.0,rice,134,0,6,2,15,10.289158033316113
Chandpur,Kharif 1,Aus,26157.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,168.796875,27283.0,rice,135,0,7,2,15,10.21405572877461
CoxsBazar,Kharif 1,Aus,7479.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,303.40277777777777,7961.0,rice,139,0,11,2,15,8.982435503560263
Dhaka,Kharif 1,Aus,1454.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,1149.0,rice,141,0,13,2,15,7.047517221357296
Dinajpur,Kharif 1,Aus,28663.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,154.21843434343435,24277.0,rice,142,0,14,2,15,10.097325869457748
Faridpur,Kharif 1,Aus,21437.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,13413.0,rice,143,0,15,2,15,9.504054216659682
Feni,Kharif 1,Aus,27313.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,248.1727642276423,24428.0,rice,144,0,16,2,15,10.103526230135241
Gaibandha,Kharif 1,Aus,34902.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,29653.0,rice,145,0,17,2,15,10.297352302577972
Gazipur,Kharif 1,Aus,3943.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,5147.0,rice,146,0,18,2,15,8.546363568716018
Gopalganj,Kharif 1,Aus,9664.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,13842.0,rice,147,0,19,2,15,9.535534968687735
Jamalpur,Kharif 1,Aus,9975.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,9157.0,rice,149,0,21,2,15,9.12238309321704
Jashore,Kharif 1,Aus,41981.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,52983.0,rice,150,0,22,2,15,10.877745260164815
Jhallokati,Kharif 1,Aus,39679.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,42484.0,rice,151,0,23,2,15,10.656906351437641
Joypurhat,Kharif 1,Aus,1038.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,142.85416666666666,980.0,rice,153,0,25,2,15,6.8885724595653635
Khagrachari,Kharif 1,Aus,11154.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,204.11111111111111,11256.0,rice,154,0,26,2,15,9.328745436354804
Khulna,Kharif 1,Aus,9017.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,144.96843434343435,4942.0,rice,155,0,27,2,15,8.505727713306959
Kishoreganj,Kharif 1,Aus,66014.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,69329.0,rice,156,0,28,2,15,11.146632991936537
Kurigram,Kharif 1,Aus,16357.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,13802.0,rice,157,0,29,2,15,9.532641238823578
Kushtia,Kharif 1,Aus,67774.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,129.44444444444446,79121.0,rice,158,0,30,2,15,11.278746244035753
Lakshmipur,Kharif 1,Aus,80238.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.7563131313132,71060.0,rice,159,0,31,2,15,11.171293942090692
Lalmonirhat,Kharif 1,Aus,27851.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,28204.0,rice,160,0,32,2,15,10.247254546174076
Madaripur,Kharif 1,Aus,4854.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,160.41666666666666,3324.0,rice,161,0,33,2,15,8.109224953089955
Magura,Kharif 1,Aus,14520.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,12123.0,rice,162,0,34,2,15,9.402942238177694
Manikganj,Kharif 1,Aus,8158.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,6967.0,rice,163,0,35,2,15,8.849083518532339
Meherpur,Kharif 1,Aus,51464.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,129.44444444444446,64047.0,rice,164,0,36,2,15,11.067388081232355
Munshiganj,Kharif 1,Aus,447.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,401.0,rice,166,0,38,2,15,5.996452088619021
Mymensingh,Kharif 1,Aus,58364.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,54574.0,rice,167,0,39,2,15,10.907331181418146
Narail,Kharif 1,Aus,22828.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,19174.0,rice,169,0,41,2,15,9.861362626235456
Narayanganj,Kharif 1,Aus,6054.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,5646.0,rice,170,0,42,2,15,8.638879709672837
Narsingdi,Kharif 1,Aus,3735.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,4071.0,rice,171,0,43,2,15,8.311889558230359
Natore,Kharif 1,Aus,24015.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,27651.0,rice,172,0,44,2,15,10.227453337065155
Netrokona,Kharif 1,Aus,3609.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,3470.0,rice,173,0,45,2,15,8.152198015861787
Nilphamari,Kharif 1,Aus,4312.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,3565.0,rice,174,0,46,2,15,8.179199798423086
Pabna,Kharif 1,Aus,59351.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,50334.0,rice,176,0,48,2,15,10.826455939163523
Panchagar,Kharif 1,Aus,6020.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,154.21843434343435,6185.0,rice,177,0,49,2,15,8.730043953245016
Pirojpur,Kharif 1,Aus,33909.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,32164.0,rice,179,0,51,2,15,10.3786341838451
Rajbari,Kharif 1,Aus,6411.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,4485.0,rice,180,0,52,2,15,8.408716715080153
Rangamati,Kharif 1,Aus,14523.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,204.11111111111111,9091.0,rice,182,0,54,2,15,9.115150184972434
Rangpur,Kharif 1,Aus,63967.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,71011.0,rice,183,0,55,2,15,11.170604155826688
Satkhira,Kharif 1,Aus,19706.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,140.35353535353536,22530.0,rice,184,0,56,2,15,10.022647417705386
Shariatpur,Kharif 1,Aus,30842.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,30321.0,rice,185,0,57,2,15,10.319628800641526
Sherpur,Kharif 1,Aus,12847.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,12190.0,rice,186,0,58,2,15,9.408453253565146
Sirajganj,Kharif 1,Aus,25932.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,142.85416666666666,27070.0,rice,187,0,59,2,15,10.206218323189427
Sunamganj,Kharif 1,Aus,50522.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,333.72557471264366,55001.0,rice,188,0,60,2,15,10.91512482718983
Tangail,Kharif 1,Aus,2964.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,153.4104938271605,2569.0,rice,190,0,62,2,15,7.851661177889265
Thakurgaon,Kharif 1,Aus,61148.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,154.21843434343435,65964.0,rice,191,0,63,2,15,11.096879577317877
Bagerhat,Rabi,Banana,2077.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,144.96843434343435,8637.0,banana,192,2,0,3,0,9.063926353520646
Bandarban,Rabi,Banana,3830.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,243.94444444444449,18430.0,banana,193,2,1,3,0,9.821789308551622
Barguna,Rabi,Banana,305.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,207.8076923076923,1397.0,banana,194,2,2,3,0,7.242797922793756
Barishal,Rabi,Banana,1760.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,175.42564102564103,5781.0,banana,195,2,3,3,0,8.662504922576291
Bhola,Rabi,Banana,563.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,185.23090277777777,2039.0,banana,196,2,4,3,0,7.620705086838262
Bogura,Rabi,Banana,2572.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,142.85416666666666,20335.0,banana,197,2,5,3,0,9.920147993429236
Brahmanbaria,Rabi,Banana,269.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,185.7563131313132,1030.0,banana,198,2,6,3,0,6.93828448401696
Chandpur,Rabi,Banana,990.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,168.796875,5131.0,banana,199,2,7,3,0,8.543250725735527
Chapai Nawabganj,Rabi,Banana,419.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,124.92,3395.0,banana,200,2,8,3,0,8.130353547431238
Chattogram,Rabi,Banana,2961.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,243.94444444444449,14513.0,banana,201,2,9,3,0,9.582868979838082
Chuadanga,Rabi,Banana,1813.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,129.44444444444446,17999.0,banana,202,2,10,3,0,9.798127036878302
CoxsBazar,Rabi,Banana,854.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,303.40277777777777,2315.0,banana,203,2,11,3,0,7.7475968386928855
Cumilla,Rabi,Banana,849.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,185.7563131313132,3930.0,banana,204,2,12,3,0,8.27664912542186
Dhaka,Rabi,Banana,588.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,169.94262295081967,4075.0,banana,205,2,13,3,0,8.312871394342615
Dinajpur,Rabi,Banana,2772.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,154.21843434343435,28912.0,banana,206,2,14,3,0,10.272046599948313
Faridpur,Rabi,Banana,202.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,155.864898989899,624.0,banana,207,2,15,3,0,6.437751649736401
Feni,Rabi,Banana,483.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,248.1727642276423,2155.0,banana,208,2,16,3,0,7.6760099320288875
Gaibandha,Rabi,Banana,3459.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,179.6013888888889,62407.0,banana,209,2,17,3,0,11.041448751268149
Gazipur,Rabi,Banana,1499.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,169.94262295081967,9163.0,banana,210,2,18,3,0,9.123038043573386
Gopalganj,Rabi,Banana,909.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,155.864898989899,5384.0,banana,211,2,19,3,0,8.591372589590488
Habiganj,Rabi,Banana,279.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,333.72557471264366,775.0,banana,212,2,20,3,0,6.654152520183219
Jamalpur,Rabi,Banana,1324.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,181.08838383838383,7323.0,banana,213,2,21,3,0,8.898911905794401
Jashore,Rabi,Banana,1973.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,134.2247474747475,10150.0,banana,214,2,22,3,0,9.225327501784431
Jhallokati,Rabi,Banana,2910.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,175.42564102564103,9500.0,banana,215,2,23,3,0,9.15915233520675
Jhenaidah,Rabi,Banana,8152.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,134.2247474747475,50351.0,banana,216,2,24,3,0,10.826793619304189
Joypurhat,Rabi,Banana,416.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,142.85416666666666,3055.0,banana,217,2,25,3,0,8.024862150286411
Khagrachari,Rabi,Banana,7462.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,204.11111111111111,26938.0,banana,218,2,26,3,0,10.201330329750538
Khulna,Rabi,Banana,305.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,144.96843434343435,5123.0,banana,219,2,27,3,0,8.541690663016626
Kishoreganj,Rabi,Banana,1536.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,181.08838383838383,11557.0,banana,220,2,28,3,0,9.355133116877724
Kurigram,Rabi,Banana,520.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,179.6013888888889,5296.0,banana,221,2,29,3,0,8.574895901544526
Kushtia,Rabi,Banana,1760.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,129.44444444444446,36962.0,banana,222,2,30,3,0,10.517672691292779
Lakshmipur,Rabi,Banana,3250.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,185.7563131313132,12432.0,banana,223,2,31,3,0,9.428109506952937
Lalmonirhat,Rabi,Banana,277.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,179.6013888888889,3001.0,banana,224,2,32,3,0,8.007034012193408
Madaripur,Rabi,Banana,1584.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,160.41666666666666,12195.0,banana,225,2,33,3,0,9.408863308108145
Magura,Rabi,Banana,563.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,134.2247474747475,14819.0,banana,226,2,34,3,0,9.603732898850078
Manikganj,Rabi,Banana,601.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,169.94262295081967,1966.0,banana,227,2,35,3,0,7.584264818389059
Meherpur,Rabi,Banana,2432.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,129.44444444444446,37399.0,banana,228,2,36,3,0,10.529425983402623
Moulvibazar,Rabi,Banana,269.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,333.72557471264366,1423.0,banana,229,2,37,3,0,7.261225091971921
Munshiganj,Rabi,Banana,170.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,169.94262295081967,647.0,banana,230,2,38,3,0,6.473890696352274
Mymensingh,Rabi,Banana,5325.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,181.08838383838383,36200.0,banana,231,2,39,3,0,10.49684202174171
Naogaon,Rabi,Banana,1631.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,124.92,13864.0,banana,232,2,40,3,0,9.537122958049878
Narail,Rabi,Banana,638.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,134.2247474747475,4394.0,banana,233,2,41,3,0,8.388222810119277
Narayanganj,Rabi,Banana,195.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,169.94262295081967,1000.0,banana,234,2,42,3,0,6.90875477931522
Narsingdi,Rabi,Banana,3677.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,169.94262295081967,25074.0,banana,235,2,43,3,0,10.129626612830137
Natore,Rabi,Banana,856.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,124.92,14360.0,banana,236,2,44,3,0,9.57227147806062
Netrokona,Rabi,Banana,804.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,181.08838383838383,4588.0,banana,237,2,45,3,0,8.431417414394833
Nilphamari,Rabi,Banana,439.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,179.6013888888889,3672.0,banana,238,2,46,3,0,8.208764045819667
Noakhali,Rabi,Banana,1212.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,185.7563131313132,3493.0,banana,239,2,47,3,0,8.158802490694002
Pabna,Rabi,Banana,756.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,124.92,5564.0,banana,240,2,48,3,0,8.624252263709645
Panchagar,Rabi,Banana,402.0,100.23,82.01,50.05,5.98,25.0,15.0,35.0,80.0,85.0,75.0,154.21843434343435,5070.0,banana,241,2,49,3,0,8.531293315795018
