District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production,Crop_Label_22,_orig_id
Jhallokati,Kharif 2,Aman,116665.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,0.7944799211,June,July to  Oct,Nov to Dec,92688.0,rice,23
Jhenaidah,Kharif 2,Aman,252930.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,1.369529119,June,July to  Oct,Nov to Dec,346395.0,rice,24
Joypurhat,Kharif 2,Aman,170726.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,142.85416666666666,1.137928611,June,July to  Oct,Nov to Dec,194274.0,rice,25
Khagrachari,Kharif 2,Aman,66694.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,204.11111111111111,1.304375206,June,July to  Oct,Nov to Dec,86994.0,rice,26
Khulna,Kharif 2,Aman,237461.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,144.96843434343435,1.120950388,June,July to  Oct,Nov to Dec,266182.0,rice,27
Kishoreganj,Kharif 2,Aman,186328.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,1.158322957,June,July to  Oct,Nov to Dec,215828.0,rice,28
Kurigram,Kharif 2,Aman,283509.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,1.102067307,June,July to  Oct,Nov to Dec,312446.0,rice,29
Kushtia,Kharif 2,Aman,225972.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,129.44444444444446,1.200374383,June,July to  Oct,Nov to Dec,271251.0,rice,30
Lakshmipur,Kharif 2,Aman,185213.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.7563131313132,1.053263,June,July to  Oct,Nov to Dec,195078.0,rice,31
Lalmonirhat,Kharif 2,Aman,189950.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,1.141163464,June,July to  Oct,Nov to Dec,216764.0,rice,32
Madaripur,Kharif 2,Aman,40746.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,160.41666666666666,0.8303146321,June,July to  Oct,Nov to Dec,33832.0,rice,33
Magura,Kharif 2,Aman,143430.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,1.062643798,June,July to  Oct,Nov to Dec,152415.0,rice,34
Manikganj,Kharif 2,Aman,19457.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,0.9198231999,June,July to  Oct,Nov to Dec,17897.0,rice,35
Meherpur,Kharif 2,Aman,82524.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,129.44444444444446,1.279203626,June,July to  Oct,Nov to Dec,105565.0,rice,36
Moulvibazar,Kharif 2,Aman,251081.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,333.72557471264366,1.180622986,June,July to  Oct,Nov to Dec,296432.0,rice,37
Munshiganj,Kharif 2,Aman,41822.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,0.3934053847,June,July to  Oct,Nov to Dec,16453.0,rice,38
Mymensingh,Kharif 2,Aman,663734.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,0.9711571202,June,July to  Oct,Nov to Dec,644590.0,rice,39
Naogaon,Kharif 2,Aman,468054.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,1.082366565,June,July to  Oct,Nov to Dec,506606.0,rice,40
Narail,Kharif 2,Aman,85229.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,134.2247474747475,1.068098887,June,July to  Oct,Nov to Dec,91033.0,rice,41
Narayanganj,Kharif 2,Aman,19756.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,0.5482385098,June,July to  Oct,Nov to Dec,10831.0,rice,42
Narsingdi,Kharif 2,Aman,97752.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,169.94262295081967,1.039313774,June,July to  Oct,Nov to Dec,101595.0,rice,43
Natore,Kharif 2,Aman,182696.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,1.119438849,June,July to  Oct,Nov to Dec,204517.0,rice,44
Netrokona,Kharif 2,Aman,301949.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,1.091058424,June,July to  Oct,Nov to Dec,329444.0,rice,45
Nilphamari,Kharif 2,Aman,279580.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,1.103355033,June,July to  Oct,Nov to Dec,308476.0,rice,46
Noakhali,Kharif 2,Aman,382971.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,185.7563131313132,1.033623956,June,July to  Oct,Nov to Dec,395848.0,rice,47
Pabna,Kharif 2,Aman,221929.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,0.8668718374,June,July to  Oct,Nov to Dec,192384.0,rice,48
Panchagar,Kharif 2,Aman,246162.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,154.21843434343435,1.246549021,June,July to  Oct,Nov to Dec,306853.0,rice,49
Patuakhali,Kharif 2,Aman,431833.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,207.8076923076923,0.749345233,June,July to  Oct,Nov to Dec,323592.0,rice,50
Pirojpur,Kharif 2,Aman,155038.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,0.6449257601,June,July to  Oct,Nov to Dec,99988.0,rice,51
Rajbari,Kharif 2,Aman,117377.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,0.9136968912,June,July to  Oct,Nov to Dec,107247.0,rice,52
Rajshahi,Kharif 2,Aman,182555.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,124.92,1.273851716,June,July to  Oct,Nov to Dec,232548.0,rice,53
Rangamati,Kharif 2,Aman,23990.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,204.11111111111111,1.199041267,June,July to  Oct,Nov to Dec,28765.0,rice,54
Rangpur,Kharif 2,Aman,405055.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,179.6013888888889,1.092310921,June,July to  Oct,Nov to Dec,442446.0,rice,55
Satkhira,Kharif 2,Aman,207744.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,140.35353535353536,1.108450786,June,July to  Oct,Nov to Dec,230274.0,rice,56
Shariatpur,Kharif 2,Aman,32898.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,155.864898989899,0.701501611,June,July to  Oct,Nov to Dec,23078.0,rice,57
Sherpur,Kharif 2,Aman,202388.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,181.08838383838383,0.9527689389,June,July to  Oct,Nov to Dec,192829.0,rice,58
Sirajganj,Kharif 2,Aman,200166.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,142.85416666666666,1.104498266,June,July to  Oct,Nov to Dec,221083.0,rice,59
Sunamganj,Kharif 2,Aman,198587.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,333.72557471264366,1.044851879,June,July to  Oct,Nov to Dec,207494.0,rice,60
Sylhet,Kharif 2,Aman,336140.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,333.72557471264366,1.05969834,June,July to  Oct,Nov to Dec,356207.0,rice,61
Tangail,Kharif 2,Aman,249183.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,153.4104938271605,0.8334115891,June,July to  Oct,Nov to Dec,207672.0,rice,62
Thakurgaon,Kharif 2,Aman,322836.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,154.21843434343435,1.083695746,June,July to  Oct,Nov to Dec,349856.0,rice,63
Bagerhat,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,144.96843434343435,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,64
Bandarban,Kharif 2,Arhar,64.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,243.94444444444449,0.265625,Aug,Sep to Oct,Nov,17.0,pigeonpeas,65
Barguna,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,207.8076923076923,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,66
Barishal,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,67
Bhola,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.23090277777777,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,68
Bogura,Kharif 2,Arhar,6.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,142.85416666666666,0.3333333333,Aug,Sep to Oct,Nov,2.0,pigeonpeas,69
Brahmanbaria,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.7563131313132,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,70
Chandpur,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,168.796875,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,71
Chapai Nawabganj,Kharif 2,Arhar,50.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,0.38,Aug,Sep to Oct,Nov,19.0,pigeonpeas,72
Chattogram,Kharif 2,Arhar,35.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,243.94444444444449,0.6571428571,Aug,Sep to Oct,Nov,23.0,pigeonpeas,73
Chuadanga,Kharif 2,Arhar,24.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,129.44444444444446,0.25,Aug,Sep to Oct,Nov,6.0,pigeonpeas,74
CoxsBazar,Kharif 2,Arhar,2.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,303.40277777777777,2.0,Aug,Sep to Oct,Nov,4.0,pigeonpeas,75
Cumilla,Kharif 2,Arhar,2.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.7563131313132,0.0,Aug,Sep to Oct,Nov,0.0,pigeonpeas,76
Dhaka,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,77
Dinajpur,Kharif 2,Arhar,15.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,154.21843434343435,0.2666666667,Aug,Sep to Oct,Nov,4.0,pigeonpeas,78
Faridpur,Kharif 2,Arhar,5.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,155.864898989899,0.4,Aug,Sep to Oct,Nov,2.0,pigeonpeas,79
Feni,Kharif 2,Arhar,11.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,248.1727642276423,0.1818181818,Aug,Sep to Oct,Nov,2.0,pigeonpeas,80
Gaibandha,Kharif 2,Arhar,49.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,0.5918367347,Aug,Sep to Oct,Nov,29.0,pigeonpeas,81
Gazipur,Kharif 2,Arhar,2.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,0.0,Aug,Sep to Oct,Nov,0.0,pigeonpeas,82
Gopalganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,155.864898989899,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,83
Habiganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,333.72557471264366,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,84
Jamalpur,Kharif 2,Arhar,8.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,0.25,Aug,Sep to Oct,Nov,2.0,pigeonpeas,85
Jashore,Kharif 2,Arhar,12.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,134.2247474747475,0.3333333333,Aug,Sep to Oct,Nov,4.0,pigeonpeas,86
Jhallokati,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,87
Jhenaidah,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,134.2247474747475,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,88
Joypurhat,Kharif 2,Arhar,20.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,142.85416666666666,0.4,Aug,Sep to Oct,Nov,8.0,pigeonpeas,89
Khagrachari,Kharif 2,Arhar,29.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,204.11111111111111,0.3103448276,Aug,Sep to Oct,Nov,9.0,pigeonpeas,90
Khulna,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,144.96843434343435,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,91
Kishoreganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,92
Kurigram,Kharif 2,Arhar,61.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,0.2950819672,Aug,Sep to Oct,Nov,18.0,pigeonpeas,93
Kushtia,Kharif 2,Arhar,91.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,129.44444444444446,0.4725274725,Aug,Sep to Oct,Nov,43.0,pigeonpeas,94
Lakshmipur,Kharif 2,Arhar,14.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.7563131313132,0.1428571429,Aug,Sep to Oct,Nov,2.0,pigeonpeas,95
Lalmonirhat,Kharif 2,Arhar,7.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,0.1428571429,Aug,Sep to Oct,Nov,1.0,pigeonpeas,96
Madaripur,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,160.41666666666666,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,97
Magura,Kharif 2,Arhar,11.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,134.2247474747475,0.2727272727,Aug,Sep to Oct,Nov,3.0,pigeonpeas,98
Manikganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,99
Meherpur,Kharif 2,Arhar,16.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,129.44444444444446,0.375,Aug,Sep to Oct,Nov,6.0,pigeonpeas,100
Moulvibazar,Kharif 2,Arhar,26.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,333.72557471264366,0.2692307692,Aug,Sep to Oct,Nov,7.0,pigeonpeas,101
Munshiganj,Kharif 2,Arhar,12.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,0.25,Aug,Sep to Oct,Nov,3.0,pigeonpeas,102
Mymensingh,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,103
Naogaon,Kharif 2,Arhar,132.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,0.4166666667,Aug,Sep to Oct,Nov,55.0,pigeonpeas,104
Narail,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,134.2247474747475,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,105
Narayanganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,106
Narsingdi,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,169.94262295081967,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,107
Natore,Kharif 2,Arhar,15.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,0.2,Aug,Sep to Oct,Nov,3.0,pigeonpeas,108
Netrokona,Kharif 2,Arhar,8.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,0.375,Aug,Sep to Oct,Nov,3.0,pigeonpeas,109
Nilphamari,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,110
Noakhali,Kharif 2,Arhar,40.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,185.7563131313132,0.25,Aug,Sep to Oct,Nov,10.0,pigeonpeas,111
Pabna,Kharif 2,Arhar,7.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,0.7142857143,Aug,Sep to Oct,Nov,5.0,pigeonpeas,112
Panchagar,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,154.21843434343435,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,113
Patuakhali,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,207.8076923076923,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,114
Pirojpur,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,115
Rajbari,Kharif 2,Arhar,33.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,155.864898989899,0.2727272727,Aug,Sep to Oct,Nov,9.0,pigeonpeas,116
Rajshahi,Kharif 2,Arhar,6.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,124.92,0.1666666667,Aug,Sep to Oct,Nov,1.0,pigeonpeas,117
Rangamati,Kharif 2,Arhar,151.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,204.11111111111111,0.5298013245,Aug,Sep to Oct,Nov,80.0,pigeonpeas,118
Rangpur,Kharif 2,Arhar,83.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,179.6013888888889,0.734939759,Aug,Sep to Oct,Nov,61.0,pigeonpeas,119
Satkhira,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,140.35353535353536,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,120
Shariatpur,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,155.864898989899,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,121
Sherpur,Kharif 2,Arhar,8.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,181.08838383838383,0.375,Aug,Sep to Oct,Nov,3.0,pigeonpeas,122
Sirajganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,142.85416666666666,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,123
Sunamganj,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,333.72557471264366,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,124
Sylhet,Kharif 2,Arhar,0.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,333.72557471264366,2.518413598,Aug,Sep to Oct,Nov,0.0,pigeonpeas,125
Tangail,Kharif 2,Arhar,3.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,153.4104938271605,0.0,Aug,Sep to Oct,Nov,0.0,pigeonpeas,126
Thakurgaon,Kharif 2,Arhar,40.0,20.73,67.73,20.29,5.79,28.0,26.0,30.0,35.0,50.0,20.0,154.21843434343435,0.35,Aug,Sep to Oct,Nov,14.0,pigeonpeas,127
Bagerhat,Kharif 1,Aus,14355.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,144.96843434343435,1.118843608,March,April to july,Aug,16061.0,rice,128
Bandarban,Kharif 1,Aus,30323.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,243.94444444444449,0.80681331,March,April to july,Aug,24465.0,rice,129
Barguna,Kharif 1,Aus,136821.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,207.8076923076923,1.023665958,March,April to july,Aug,140059.0,rice,130
Barishal,Kharif 1,Aus,44719.0,79.89,47.58,39.87,6.43,26.0,12.0,40.0,72.5,85.0,60.0,175.42564102564103,0.7564793488,March,April to july,Aug,33829.0,rice,131
