District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production,Crop_Label_22
Gopalganj,Kharif 2,Aman,59993,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.7519377261,June,July to  Oct,Nov to Dec,45111,rice
Habiganj,Kharif 2,Aman,245464,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.064665287,June,July to  Oct,Nov to Dec,261337,rice
Jamalpur,Kharif 2,Aman,265787,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9535003593,June,July to  Oct,Nov to Dec,253428,rice
Jashore,Kharif 2,Aman,338887,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.14695459,June,July to  Oct,Nov to Dec,388688,rice
Jhallokati,Kharif 2,Aman,116665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7944799211,June,July to  Oct,Nov to Dec,92688,rice
Jhenaidah,Kharif 2,Aman,252930,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.369529119,June,July to  Oct,Nov to Dec,346395,rice
Joypurhat,Kharif 2,Aman,170726,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.137928611,June,July to  Oct,Nov to Dec,194274,rice
Khagrachari,Kharif 2,Aman,66694,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,1.304375206,June,July to  Oct,Nov to Dec,86994,rice
Khulna,Kharif 2,Aman,237461,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,144.96843434343435,1.120950388,June,July to  Oct,Nov to Dec,266182,rice
Kishoreganj,Kharif 2,Aman,186328,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,1.158322957,June,July to  Oct,Nov to Dec,215828,rice
Kurigram,Kharif 2,Aman,283509,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.102067307,June,July to  Oct,Nov to Dec,312446,rice
Kushtia,Kharif 2,Aman,225972,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.200374383,June,July to  Oct,Nov to Dec,271251,rice
Lakshmipur,Kharif 2,Aman,185213,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131316,1.053263,June,July to  Oct,Nov to Dec,195078,rice
Lalmonirhat,Kharif 2,Aman,189950,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.141163464,June,July to  Oct,Nov to Dec,216764,rice
Madaripur,Kharif 2,Aman,40746,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,160.41666666666666,0.8303146321,June,July to  Oct,Nov to Dec,33832,rice
Magura,Kharif 2,Aman,143430,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.062643798,June,July to  Oct,Nov to Dec,152415,rice
Manikganj,Kharif 2,Aman,19457,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.9198231999,June,July to  Oct,Nov to Dec,17897,rice
Meherpur,Kharif 2,Aman,82524,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.279203626,June,July to  Oct,Nov to Dec,105565,rice
Moulvibazar,Kharif 2,Aman,251081,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.180622986,June,July to  Oct,Nov to Dec,296432,rice
Munshiganj,Kharif 2,Aman,41822,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.3934053847,June,July to  Oct,Nov to Dec,16453,rice
Mymensingh,Kharif 2,Aman,663734,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9711571202,June,July to  Oct,Nov to Dec,644590,rice
Naogaon,Kharif 2,Aman,468054,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.082366565,June,July to  Oct,Nov to Dec,506606,rice
Narail,Kharif 2,Aman,85229,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.068098887,June,July to  Oct,Nov to Dec,91033,rice
Narayanganj,Kharif 2,Aman,19756,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.5482385098,June,July to  Oct,Nov to Dec,10831,rice
Narsingdi,Kharif 2,Aman,97752,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1.039313774,June,July to  Oct,Nov to Dec,101595,rice
Natore,Kharif 2,Aman,182696,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.119438849,June,July to  Oct,Nov to Dec,204517,rice
Netrokona,Kharif 2,Aman,301949,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,1.091058424,June,July to  Oct,Nov to Dec,329444,rice
Nilphamari,Kharif 2,Aman,279580,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.103355033,June,July to  Oct,Nov to Dec,308476,rice
Noakhali,Kharif 2,Aman,382971,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131316,1.033623956,June,July to  Oct,Nov to Dec,395848,rice
Pabna,Kharif 2,Aman,221929,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,0.8668718374,June,July to  Oct,Nov to Dec,192384,rice
Panchagar,Kharif 2,Aman,246162,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.246549021,June,July to  Oct,Nov to Dec,306853,rice
Patuakhali,Kharif 2,Aman,431833,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,207.8076923076923,0.749345233,June,July to  Oct,Nov to Dec,323592,rice
Pirojpur,Kharif 2,Aman,155038,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.6449257601,June,July to  Oct,Nov to Dec,99988,rice
Rajbari,Kharif 2,Aman,117377,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.9136968912,June,July to  Oct,Nov to Dec,107247,rice
Rajshahi,Kharif 2,Aman,182555,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.273851716,June,July to  Oct,Nov to Dec,232548,rice
Rangamati,Kharif 2,Aman,23990,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,1.199041267,June,July to  Oct,Nov to Dec,28765,rice
Rangpur,Kharif 2,Aman,405055,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.092310921,June,July to  Oct,Nov to Dec,442446,rice
Satkhira,Kharif 2,Aman,207744,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,140.35353535353536,1.108450786,June,July to  Oct,Nov to Dec,230274,rice
Shariatpur,Kharif 2,Aman,32898,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.701501611,June,July to  Oct,Nov to Dec,23078,rice
Sherpur,Kharif 2,Aman,202388,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9527689389,June,July to  Oct,Nov to Dec,192829,rice
Sirajganj,Kharif 2,Aman,200166,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.104498266,June,July to  Oct,Nov to Dec,221083,rice
Sunamganj,Kharif 2,Aman,198587,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.044851879,June,July to  Oct,Nov to Dec,207494,rice
Sylhet,Kharif 2,Aman,336140,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.05969834,June,July to  Oct,Nov to Dec,356207,rice
Tangail,Kharif 2,Aman,249183,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,153.4104938271605,0.8334115891,June,July to  Oct,Nov to Dec,207672,rice
Thakurgaon,Kharif 2,Aman,322836,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.083695746,June,July to  Oct,Nov to Dec,349856,rice
Bagerhat,Kharif 1,Amra,167,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,144.96843434343435,6.700598802,June,June to August,August to September,1119,mango
Bandarban,Kharif 1,Amra,128,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,243.94444444444449,1.3046875,June,June to August,August to September,167,mango
Barguna,Kharif 1,Amra,1597,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,207.8076923076923,0.9198497182,June,June to August,August to September,1469,mango
Barishal,Kharif 1,Amra,1351,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,175.42564102564103,4.071058475,June,June to August,August to September,5500,mango
Bhola,Kharif 1,Amra,148,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.23090277777777,5.155405405,June,June to August,August to September,763,mango
Bogura,Kharif 1,Amra,233,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,142.85416666666666,3.39055794,June,June to August,August to September,790,mango
Brahmanbaria,Kharif 1,Amra,15,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,0.8666666667,June,June to August,August to September,13,mango
Chandpur,Kharif 1,Amra,50,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,168.796875,5.26,June,June to August,August to September,263,mango
Chapai Nawabganj,Kharif 1,Amra,71,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,2.183098592,June,June to August,August to September,155,mango
Chattogram,Kharif 1,Amra,95,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,243.94444444444449,4.810526316,June,June to August,August to September,457,mango
Chuadanga,Kharif 1,Amra,77,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,129.44444444444446,4.701298701,June,June to August,August to September,362,mango
CoxsBazar,Kharif 1,Amra,142,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,303.40277777777777,2.605633803,June,June to August,August to September,370,mango
Cumilla,Kharif 1,Amra,330,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,1.081818182,June,June to August,August to September,357,mango
Dhaka,Kharif 1,Amra,31,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,7.580645161,June,June to August,August to September,235,mango
Dinajpur,Kharif 1,Amra,47,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,154.21843434343435,12.10638298,June,June to August,August to September,569,mango
Faridpur,Kharif 1,Amra,479,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,1.350730689,June,June to August,August to September,647,mango
Feni,Kharif 1,Amra,28,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,248.1727642276423,1.964285714,June,June to August,August to September,55,mango
Gaibandha,Kharif 1,Amra,11,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,13.54545455,June,June to August,August to September,149,mango
Gazipur,Kharif 1,Amra,40,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,5.9,June,June to August,August to September,236,mango
Gopalganj,Kharif 1,Amra,52,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,11.36538462,June,June to August,August to September,591,mango
Habiganj,Kharif 1,Amra,141,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,3.780141844,June,June to August,August to September,533,mango
Jamalpur,Kharif 1,Amra,86,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,4.069767442,June,June to August,August to September,350,mango
Jashore,Kharif 1,Amra,204,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,5.980392157,June,June to August,August to September,1220,mango
Jhallokati,Kharif 1,Amra,742,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,175.42564102564103,6.132075472,June,June to August,August to September,4550,mango
Jhenaidah,Kharif 1,Amra,97,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,14.50515464,June,June to August,August to September,1407,mango
Joypurhat,Kharif 1,Amra,31,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,142.85416666666666,9.774193548,June,June to August,August to September,303,mango
Khagrachari,Kharif 1,Amra,129,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,204.11111111111111,2.062015504,June,June to August,August to September,266,mango
Khulna,Kharif 1,Amra,592,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,144.96843434343435,1.491554054,June,June to August,August to September,883,mango
Kishoreganj,Kharif 1,Amra,60,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,9.45,June,June to August,August to September,567,mango
Kurigram,Kharif 1,Amra,24,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,6.958333333,June,June to August,August to September,167,mango
Kushtia,Kharif 1,Amra,63,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,129.44444444444446,9.238095238,June,June to August,August to September,582,mango
Lakshmipur,Kharif 1,Amra,13,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,27.69230769,June,June to August,August to September,360,mango
Lalmonirhat,Kharif 1,Amra,6,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,1.5,June,June to August,August to September,9,mango
Madaripur,Kharif 1,Amra,33,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,160.41666666666666,21.18181818,June,June to August,August to September,699,mango
Magura,Kharif 1,Amra,96,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,10.33333333,June,June to August,August to September,992,mango
Manikganj,Kharif 1,Amra,18,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,4.111111111,June,June to August,August to September,74,mango
Meherpur,Kharif 1,Amra,101,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,129.44444444444446,1.851485149,June,June to August,August to September,187,mango
Moulvibazar,Kharif 1,Amra,86,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,8.976744186,June,June to August,August to September,772,mango
Munshiganj,Kharif 1,Amra,15,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,9.133333333,June,June to August,August to September,137,mango
Mymensingh,Kharif 1,Amra,407,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,1.680589681,June,June to August,August to September,684,mango
Naogaon,Kharif 1,Amra,62,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,5.548387097,June,June to August,August to September,344,mango
Narail,Kharif 1,Amra,218,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,6.119266055,June,June to August,August to September,1334,mango
Narayanganj,Kharif 1,Amra,8,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,17.125,June,June to August,August to September,137,mango
Narsingdi,Kharif 1,Amra,28,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,7.857142857,June,June to August,August to September,220,mango
Natore,Kharif 1,Amra,270,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,3.074074074,June,June to August,August to September,830,mango
Netrokona,Kharif 1,Amra,64,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,5.109375,June,June to August,August to September,327,mango
Nilphamari,Kharif 1,Amra,5,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,20.8,June,June to August,August to September,104,mango
Noakhali,Kharif 1,Amra,79,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,7.417721519,June,June to August,August to September,586,mango
Pabna,Kharif 1,Amra,81,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,3.0,June,June to August,August to September,243,mango
Panchagar,Kharif 1,Amra,19,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,154.21843434343435,6.315789474,June,June to August,August to September,120,mango
Patuakhali,Kharif 1,Amra,400,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,207.8076923076923,1.2325,June,June to August,August to September,493,mango
Pirojpur,Kharif 1,Amra,394,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,175.42564102564103,11.64720812,June,June to August,August to September,4589,mango
Rajbari,Kharif 1,Amra,233,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,2.30472103,June,June to August,August to September,537,mango
Rajshahi,Kharif 1,Amra,183,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,2.912568306,June,June to August,August to September,533,mango
Rangamati,Kharif 1,Amra,128,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,204.11111111111111,1.7265625,June,June to August,August to September,221,mango
Rangpur,Kharif 1,Amra,12,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,10.0,June,June to August,August to September,120,mango
Satkhira,Kharif 1,Amra,391,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,140.35353535353536,2.749360614,June,June to August,August to September,1075,mango
Shariatpur,Kharif 1,Amra,84,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,4.047619048,June,June to August,August to September,340,mango
Sherpur,Kharif 1,Amra,58,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,5.25862069,June,June to August,August to September,305,mango
Sirajganj,Kharif 1,Amra,23,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,142.85416666666666,12.13043478,June,June to August,August to September,279,mango
Sunamganj,Kharif 1,Amra,41,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,0.756097561,June,June to August,August to September,31,mango
Sylhet,Kharif 1,Amra,66,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,2.121212121,June,June to August,August to September,140,mango
Tangail,Kharif 1,Amra,518,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,153.4104938271605,0.9691119691,June,June to August,August to September,502,mango
Thakurgaon,Kharif 1,Amra,16,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,154.21843434343435,6.75,June,June to August,August to September,108,mango
Bagerhat,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,144.96843434343435,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Bandarban,Kharif 2,Arhar,64,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,243.94444444444449,0.265625,Aug,Sep to Oct,Nov,17,pigeonpeas
Barguna,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,207.8076923076923,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Barishal,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Bhola,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.23090277777777,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Bogura,Kharif 2,Arhar,6,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,142.85416666666666,0.3333333333,Aug,Sep to Oct,Nov,2,pigeonpeas
Brahmanbaria,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Chandpur,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,168.796875,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Chapai Nawabganj,Kharif 2,Arhar,50,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,0.38,Aug,Sep to Oct,Nov,19,pigeonpeas
Chattogram,Kharif 2,Arhar,35,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,243.94444444444449,0.6571428571,Aug,Sep to Oct,Nov,23,pigeonpeas
Chuadanga,Kharif 2,Arhar,24,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,129.44444444444446,0.25,Aug,Sep to Oct,Nov,6,pigeonpeas
CoxsBazar,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,303.40277777777777,2.0,Aug,Sep to Oct,Nov,4,pigeonpeas
Cumilla,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,0.0,Aug,Sep to Oct,Nov,0,pigeonpeas
Dhaka,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,169.94262295081967,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Dinajpur,Kharif 2,Arhar,15,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,154.21843434343435,0.2666666667,Aug,Sep to Oct,Nov,4,pigeonpeas
Faridpur,Kharif 2,Arhar,5,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,155.864898989899,0.4,Aug,Sep to Oct,Nov,2,pigeonpeas
Feni,Kharif 2,Arhar,11,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,248.1727642276423,0.1818181818,Aug,Sep to Oct,Nov,2,pigeonpeas
Gaibandha,Kharif 2,Arhar,49,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,0.5918367347,Aug,Sep to Oct,Nov,29,pigeonpeas
Gazipur,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,169.94262295081967,0.0,Aug,Sep to Oct,Nov,0,pigeonpeas
Gopalganj,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,155.864898989899,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Habiganj,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,333.72557471264366,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Jamalpur,Kharif 2,Arhar,8,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,181.08838383838383,0.25,Aug,Sep to Oct,Nov,2,pigeonpeas
Jashore,Kharif 2,Arhar,12,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,0.3333333333,Aug,Sep to Oct,Nov,4,pigeonpeas
Jhallokati,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Jhenaidah,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
Joypurhat,Kharif 2,Arhar,20,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,142.85416666666666,0.4,Aug,Sep to Oct,Nov,8,pigeonpeas
Khagrachari,Kharif 2,Arhar,29,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,204.11111111111111,0.3103448276,Aug,Sep to Oct,Nov,9,pigeonpeas
Khulna,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,144.96843434343435,2.518413598,Aug,Sep to Oct,Nov,0,pigeonpeas
