District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,AP Ratio,Transplant,Growth,Harvest,Production
Faridpur,Kharif 2,Aman,191856,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,1.040175965,June,July to  Oct,Nov to Dec,199564
Feni,Kharif 2,Aman,163129,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,248.1727642276423,1.202152897,June,July to  Oct,Nov to Dec,196106
Gaibandha,Kharif 2,Aman,293991,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.126656938,June,July to  Oct,Nov to Dec,331227
Gazipur,Kharif 2,Aman,112432,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1.185907927,June,July to  Oct,Nov to Dec,133334
Gopalganj,Kharif 2,Aman,59993,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.7519377261,June,July to  Oct,Nov to Dec,45111
Habiganj,Kharif 2,Aman,245464,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.064665287,June,July to  Oct,Nov to Dec,261337
Jamalpur,Kharif 2,Aman,265787,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9535003593,June,July to  Oct,Nov to Dec,253428
Jashore,Kharif 2,Aman,338887,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.14695459,June,July to  Oct,Nov to Dec,388688
Jhallokati,Kharif 2,Aman,116665,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.7944799211,June,July to  Oct,Nov to Dec,92688
Jhenaidah,Kharif 2,Aman,252930,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.369529119,June,July to  Oct,Nov to Dec,346395
Joypurhat,Kharif 2,Aman,170726,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.137928611,June,July to  Oct,Nov to Dec,194274
Khagrachari,Kharif 2,Aman,66694,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,1.304375206,June,July to  Oct,Nov to Dec,86994
Khulna,Kharif 2,Aman,237461,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,144.96843434343435,1.120950388,June,July to  Oct,Nov to Dec,266182
Kishoreganj,Kharif 2,Aman,186328,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,1.158322957,June,July to  Oct,Nov to Dec,215828
Kurigram,Kharif 2,Aman,283509,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.102067307,June,July to  Oct,Nov to Dec,312446
Kushtia,Kharif 2,Aman,225972,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.200374383,June,July to  Oct,Nov to Dec,271251
Lakshmipur,Kharif 2,Aman,185213,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131316,1.053263,June,July to  Oct,Nov to Dec,195078
Lalmonirhat,Kharif 2,Aman,189950,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.141163464,June,July to  Oct,Nov to Dec,216764
Madaripur,Kharif 2,Aman,40746,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,160.41666666666666,0.8303146321,June,July to  Oct,Nov to Dec,33832
Magura,Kharif 2,Aman,143430,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.062643798,June,July to  Oct,Nov to Dec,152415
Manikganj,Kharif 2,Aman,19457,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.9198231999,June,July to  Oct,Nov to Dec,17897
Meherpur,Kharif 2,Aman,82524,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,129.44444444444446,1.279203626,June,July to  Oct,Nov to Dec,105565
Moulvibazar,Kharif 2,Aman,251081,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.180622986,June,July to  Oct,Nov to Dec,296432
Munshiganj,Kharif 2,Aman,41822,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.3934053847,June,July to  Oct,Nov to Dec,16453
Mymensingh,Kharif 2,Aman,663734,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9711571202,June,July to  Oct,Nov to Dec,644590
Naogaon,Kharif 2,Aman,468054,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.082366565,June,July to  Oct,Nov to Dec,506606
Narail,Kharif 2,Aman,85229,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,134.2247474747475,1.068098887,June,July to  Oct,Nov to Dec,91033
Narayanganj,Kharif 2,Aman,19756,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,0.5482385098,June,July to  Oct,Nov to Dec,10831
Narsingdi,Kharif 2,Aman,97752,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,169.94262295081967,1.039313774,June,July to  Oct,Nov to Dec,101595
Natore,Kharif 2,Aman,182696,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.119438849,June,July to  Oct,Nov to Dec,204517
Netrokona,Kharif 2,Aman,301949,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,1.091058424,June,July to  Oct,Nov to Dec,329444
Nilphamari,Kharif 2,Aman,279580,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.103355033,June,July to  Oct,Nov to Dec,308476
Noakhali,Kharif 2,Aman,382971,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,185.75631313131316,1.033623956,June,July to  Oct,Nov to Dec,395848
Pabna,Kharif 2,Aman,221929,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,0.8668718374,June,July to  Oct,Nov to Dec,192384
Panchagar,Kharif 2,Aman,246162,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.246549021,June,July to  Oct,Nov to Dec,306853
Patuakhali,Kharif 2,Aman,431833,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,207.8076923076923,0.749345233,June,July to  Oct,Nov to Dec,323592
Pirojpur,Kharif 2,Aman,155038,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,175.42564102564103,0.6449257601,June,July to  Oct,Nov to Dec,99988
Rajbari,Kharif 2,Aman,117377,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.9136968912,June,July to  Oct,Nov to Dec,107247
Rajshahi,Kharif 2,Aman,182555,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,124.92,1.273851716,June,July to  Oct,Nov to Dec,232548
Rangamati,Kharif 2,Aman,23990,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,204.11111111111111,1.199041267,June,July to  Oct,Nov to Dec,28765
Rangpur,Kharif 2,Aman,405055,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,179.6013888888889,1.092310921,June,July to  Oct,Nov to Dec,442446
Satkhira,Kharif 2,Aman,207744,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,140.35353535353536,1.108450786,June,July to  Oct,Nov to Dec,230274
Shariatpur,Kharif 2,Aman,32898,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,155.864898989899,0.701501611,June,July to  Oct,Nov to Dec,23078
Sherpur,Kharif 2,Aman,202388,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,181.08838383838383,0.9527689389,June,July to  Oct,Nov to Dec,192829
Sirajganj,Kharif 2,Aman,200166,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,142.85416666666666,1.104498266,June,July to  Oct,Nov to Dec,221083
Sunamganj,Kharif 2,Aman,198587,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.044851879,June,July to  Oct,Nov to Dec,207494
Sylhet,Kharif 2,Aman,336140,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,333.72557471264366,1.05969834,June,July to  Oct,Nov to Dec,356207
Tangail,Kharif 2,Aman,249183,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,153.4104938271605,0.8334115891,June,July to  Oct,Nov to Dec,207672
Thakurgaon,Kharif 2,Aman,322836,79.89,47.58,39.87,6.43,26.0,12.0,40,72.5,85,60,154.21843434343435,1.083695746,June,July to  Oct,Nov to Dec,349856
Bagerhat,Kharif 1,Amra,167,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,144.96843434343435,6.700598802,June,June to August,August to September,1119
Bandarban,Kharif 1,Amra,128,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,243.94444444444449,1.3046875,June,June to August,August to September,167
Barguna,Kharif 1,Amra,1597,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,207.8076923076923,0.9198497182,June,June to August,August to September,1469
Barishal,Kharif 1,Amra,1351,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,175.42564102564103,4.071058475,June,June to August,August to September,5500
Bhola,Kharif 1,Amra,148,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.23090277777777,5.155405405,June,June to August,August to September,763
Bogura,Kharif 1,Amra,233,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,142.85416666666666,3.39055794,June,June to August,August to September,790
Brahmanbaria,Kharif 1,Amra,15,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,0.8666666667,June,June to August,August to September,13
Chandpur,Kharif 1,Amra,50,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,168.796875,5.26,June,June to August,August to September,263
Chapai Nawabganj,Kharif 1,Amra,71,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,2.183098592,June,June to August,August to September,155
Chattogram,Kharif 1,Amra,95,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,243.94444444444449,4.810526316,June,June to August,August to September,457
Chuadanga,Kharif 1,Amra,77,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,129.44444444444446,4.701298701,June,June to August,August to September,362
CoxsBazar,Kharif 1,Amra,142,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,303.40277777777777,2.605633803,June,June to August,August to September,370
Cumilla,Kharif 1,Amra,330,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,1.081818182,June,June to August,August to September,357
Dhaka,Kharif 1,Amra,31,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,7.580645161,June,June to August,August to September,235
Dinajpur,Kharif 1,Amra,47,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,154.21843434343435,12.10638298,June,June to August,August to September,569
Faridpur,Kharif 1,Amra,479,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,1.350730689,June,June to August,August to September,647
Feni,Kharif 1,Amra,28,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,248.1727642276423,1.964285714,June,June to August,August to September,55
Gaibandha,Kharif 1,Amra,11,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,13.54545455,June,June to August,August to September,149
Gazipur,Kharif 1,Amra,40,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,5.9,June,June to August,August to September,236
Gopalganj,Kharif 1,Amra,52,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,11.36538462,June,June to August,August to September,591
Habiganj,Kharif 1,Amra,141,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,3.780141844,June,June to August,August to September,533
Jamalpur,Kharif 1,Amra,86,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,4.069767442,June,June to August,August to September,350
Jashore,Kharif 1,Amra,204,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,5.980392157,June,June to August,August to September,1220
Jhallokati,Kharif 1,Amra,742,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,175.42564102564103,6.132075472,June,June to August,August to September,4550
Jhenaidah,Kharif 1,Amra,97,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,14.50515464,June,June to August,August to September,1407
Joypurhat,Kharif 1,Amra,31,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,142.85416666666666,9.774193548,June,June to August,August to September,303
Khagrachari,Kharif 1,Amra,129,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,204.11111111111111,2.062015504,June,June to August,August to September,266
Khulna,Kharif 1,Amra,592,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,144.96843434343435,1.491554054,June,June to August,August to September,883
Kishoreganj,Kharif 1,Amra,60,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,9.45,June,June to August,August to September,567
Kurigram,Kharif 1,Amra,24,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,6.958333333,June,June to August,August to September,167
Kushtia,Kharif 1,Amra,63,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,129.44444444444446,9.238095238,June,June to August,August to September,582
Lakshmipur,Kharif 1,Amra,13,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,27.69230769,June,June to August,August to September,360
Lalmonirhat,Kharif 1,Amra,6,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,1.5,June,June to August,August to September,9
Madaripur,Kharif 1,Amra,33,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,160.41666666666666,21.18181818,June,June to August,August to September,699
Magura,Kharif 1,Amra,96,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,10.33333333,June,June to August,August to September,992
Manikganj,Kharif 1,Amra,18,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,4.111111111,June,June to August,August to September,74
Meherpur,Kharif 1,Amra,101,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,129.44444444444446,1.851485149,June,June to August,August to September,187
Moulvibazar,Kharif 1,Amra,86,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,8.976744186,June,June to August,August to September,772
Munshiganj,Kharif 1,Amra,15,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,9.133333333,June,June to August,August to September,137
Mymensingh,Kharif 1,Amra,407,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,1.680589681,June,June to August,August to September,684
Naogaon,Kharif 1,Amra,62,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,5.548387097,June,June to August,August to September,344
Narail,Kharif 1,Amra,218,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,134.2247474747475,6.119266055,June,June to August,August to September,1334
Narayanganj,Kharif 1,Amra,8,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,17.125,June,June to August,August to September,137
Narsingdi,Kharif 1,Amra,28,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,169.94262295081967,7.857142857,June,June to August,August to September,220
Natore,Kharif 1,Amra,270,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,3.074074074,June,June to August,August to September,830
Netrokona,Kharif 1,Amra,64,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,5.109375,June,June to August,August to September,327
Nilphamari,Kharif 1,Amra,5,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,20.8,June,June to August,August to September,104
Noakhali,Kharif 1,Amra,79,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,185.75631313131316,7.417721519,June,June to August,August to September,586
Pabna,Kharif 1,Amra,81,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,3.0,June,June to August,August to September,243
Panchagar,Kharif 1,Amra,19,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,154.21843434343435,6.315789474,June,June to August,August to September,120
Patuakhali,Kharif 1,Amra,400,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,207.8076923076923,1.2325,June,June to August,August to September,493
Pirojpur,Kharif 1,Amra,394,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,175.42564102564103,11.64720812,June,June to August,August to September,4589
Rajbari,Kharif 1,Amra,233,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,2.30472103,June,June to August,August to September,537
Rajshahi,Kharif 1,Amra,183,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,124.92,2.912568306,June,June to August,August to September,533
Rangamati,Kharif 1,Amra,128,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,204.11111111111111,1.7265625,June,June to August,August to September,221
Rangpur,Kharif 1,Amra,12,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,179.6013888888889,10.0,June,June to August,August to September,120
Satkhira,Kharif 1,Amra,391,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,140.35353535353536,2.749360614,June,June to August,August to September,1075
Shariatpur,Kharif 1,Amra,84,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,155.864898989899,4.047619048,June,June to August,August to September,340
Sherpur,Kharif 1,Amra,58,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,181.08838383838383,5.25862069,June,June to August,August to September,305
Sirajganj,Kharif 1,Amra,23,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,142.85416666666666,12.13043478,June,June to August,August to September,279
Sunamganj,Kharif 1,Amra,41,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,0.756097561,June,June to August,August to September,31
Sylhet,Kharif 1,Amra,66,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,333.72557471264366,2.121212121,June,June to August,August to September,140
Tangail,Kharif 1,Amra,518,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,153.4104938271605,0.9691119691,June,June to August,August to September,502
Thakurgaon,Kharif 1,Amra,16,20.07,27.18,29.92,5.77,25.0,20.0,30,70.0,80,60,154.21843434343435,6.75,June,June to August,August to September,108
Bagerhat,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,144.96843434343435,2.518413598,Aug,Sep to Oct,Nov,0
Bandarban,Kharif 2,Arhar,64,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,243.94444444444449,0.265625,Aug,Sep to Oct,Nov,17
Barguna,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,207.8076923076923,2.518413598,Aug,Sep to Oct,Nov,0
Barishal,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0
Bhola,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.23090277777777,2.518413598,Aug,Sep to Oct,Nov,0
Bogura,Kharif 2,Arhar,6,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,142.85416666666666,0.3333333333,Aug,Sep to Oct,Nov,2
Brahmanbaria,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,2.518413598,Aug,Sep to Oct,Nov,0
Chandpur,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,168.796875,2.518413598,Aug,Sep to Oct,Nov,0
Chapai Nawabganj,Kharif 2,Arhar,50,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,124.92,0.38,Aug,Sep to Oct,Nov,19
Chattogram,Kharif 2,Arhar,35,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,243.94444444444449,0.6571428571,Aug,Sep to Oct,Nov,23
Chuadanga,Kharif 2,Arhar,24,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,129.44444444444446,0.25,Aug,Sep to Oct,Nov,6
CoxsBazar,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,303.40277777777777,2.0,Aug,Sep to Oct,Nov,4
Cumilla,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,0.0,Aug,Sep to Oct,Nov,0
Dhaka,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,169.94262295081967,2.518413598,Aug,Sep to Oct,Nov,0
Dinajpur,Kharif 2,Arhar,15,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,154.21843434343435,0.2666666667,Aug,Sep to Oct,Nov,4
Faridpur,Kharif 2,Arhar,5,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,155.864898989899,0.4,Aug,Sep to Oct,Nov,2
Feni,Kharif 2,Arhar,11,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,248.1727642276423,0.1818181818,Aug,Sep to Oct,Nov,2
Gaibandha,Kharif 2,Arhar,49,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,0.5918367347,Aug,Sep to Oct,Nov,29
Gazipur,Kharif 2,Arhar,2,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,169.94262295081967,0.0,Aug,Sep to Oct,Nov,0
Gopalganj,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,155.864898989899,2.518413598,Aug,Sep to Oct,Nov,0
Habiganj,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,333.72557471264366,2.518413598,Aug,Sep to Oct,Nov,0
Jamalpur,Kharif 2,Arhar,8,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,181.08838383838383,0.25,Aug,Sep to Oct,Nov,2
Jashore,Kharif 2,Arhar,12,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,0.3333333333,Aug,Sep to Oct,Nov,4
Jhallokati,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,175.42564102564103,2.518413598,Aug,Sep to Oct,Nov,0
Jhenaidah,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,2.518413598,Aug,Sep to Oct,Nov,0
Joypurhat,Kharif 2,Arhar,20,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,142.85416666666666,0.4,Aug,Sep to Oct,Nov,8
Khagrachari,Kharif 2,Arhar,29,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,204.11111111111111,0.3103448276,Aug,Sep to Oct,Nov,9
Khulna,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,144.96843434343435,2.518413598,Aug,Sep to Oct,Nov,0
Kishoreganj,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,181.08838383838383,2.518413598,Aug,Sep to Oct,Nov,0
Kurigram,Kharif 2,Arhar,61,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,0.2950819672,Aug,Sep to Oct,Nov,18
Kushtia,Kharif 2,Arhar,91,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,129.44444444444446,0.4725274725,Aug,Sep to Oct,Nov,43
Lakshmipur,Kharif 2,Arhar,14,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,185.75631313131316,0.1428571429,Aug,Sep to Oct,Nov,2
Lalmonirhat,Kharif 2,Arhar,7,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,179.6013888888889,0.1428571429,Aug,Sep to Oct,Nov,1
Madaripur,Kharif 2,Arhar,0,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,160.41666666666666,2.518413598,Aug,Sep to Oct,Nov,0
Magura,Kharif 2,Arhar,11,20.73,67.73,20.29,5.79,28.0,26.0,30,35.0,50,20,134.2247474747475,0.2727272727,Aug,Sep to Oct,Nov,3
