District,Season,Crop Name,Area,N,P,K,ph,Avg Temp,Min Temp,Max Temp,Avg Humidity,Min Relative Humidity,Max Relative Humidity,Rainfall,Production,Crop_Label_22,Season_enc,District_enc,Crop_enc,Crop_22_enc,Production_log
Noakhali,Kharif 2,Arhar,40,20.7,67.24,20.84,6.02,28.0,26.0,30,35.0,50,20,185.7563131313132,10,pigeonpeas,1,47,1,13,2.3978952727983707
Pabna,Kharif 2,Arhar,7,20.8,58.9,22.83,5.93,28.0,26.0,30,35.0,50,20,124.92,5,pigeonpeas,1,48,1,13,1.791759469228055
Rajbari,Kharif 2,Arhar,33,20.69,69.08,20.22,5.97,28.0,26.0,30,35.0,50,20,155.864898989899,9,pigeonpeas,1,52,1,13,2.302585092994046
Rajshahi,Kharif 2,Arhar,6,19.28,68.5,19.09,5.72,28.0,26.0,30,35.0,50,20,124.92,1,pigeonpeas,1,53,1,13,0.6931471805599453
Rangamati,Kharif 2,Arhar,151,22.15,70.61,21.66,6.02,28.0,26.0,30,35.0,50,20,204.11111111111111,80,pigeonpeas,1,54,1,13,4.394449154672439
Rangpur,Kharif 2,Arhar,83,21.67,65.96,23.11,6.01,28.0,26.0,30,35.0,50,20,179.6013888888889,61,pigeonpeas,1,55,1,13,4.127134385045092
Sherpur,Kharif 2,Arhar,8,22.47,70.73,18.4,5.89,28.0,26.0,30,35.0,50,20,181.08838383838383,3,pigeonpeas,1,58,1,13,1.3862943611198906
Thakurgaon,Kharif 2,Arhar,40,20.03,71.01,19.57,5.83,28.0,26.0,30,35.0,50,20,154.21843434343435,14,pigeonpeas,1,63,1,13,2.70805020110221
Bagerhat,Kharif 1,Aus,14355,80.37,48.63,37.26,6.18,26.0,12.0,40,72.5,85,60,144.96843434343435,16061,rice,0,0,2,15,9.684211512748407
Bandarban,Kharif 1,Aus,30323,77.48,52.83,41.87,6.4,26.0,12.0,40,72.5,85,60,243.94444444444449,24465,rice,0,1,2,15,10.105039677606861
Barishal,Kharif 1,Aus,44719,80.22,46.58,36.17,6.01,26.0,12.0,40,72.5,85,60,175.42564102564103,33829,rice,0,3,2,15,10.429103261774754
Brahmanbaria,Kharif 1,Aus,28171,75.48,49.86,43.22,6.34,26.0,12.0,40,72.5,85,60,185.7563131313132,29411,rice,0,6,2,15,10.289158033316113
Chandpur,Kharif 1,Aus,26157,87.32,42.97,36.66,6.53,26.0,12.0,40,72.5,85,60,168.796875,27283,rice,0,7,2,15,10.21405572877461
CoxsBazar,Kharif 1,Aus,7479,73.99,52.46,44.17,6.16,26.0,12.0,40,72.5,85,60,303.40277777777777,7961,rice,0,11,2,15,8.982435503560263
Dhaka,Kharif 1,Aus,1454,86.16,47.1,39.29,6.39,26.0,12.0,40,72.5,85,60,169.94262295081967,1149,rice,0,13,2,15,7.047517221357296
Dinajpur,Kharif 1,Aus,28663,72.18,47.78,37.41,6.45,26.0,12.0,40,72.5,85,60,154.21843434343435,24277,rice,0,14,2,15,10.097325869457748
Faridpur,Kharif 1,Aus,21437,80.78,50.9,42.81,6.29,26.0,12.0,40,72.5,85,60,155.864898989899,13413,rice,0,15,2,15,9.504054216659682
Feni,Kharif 1,Aus,27313,81.14,44.93,37.56,6.77,26.0,12.0,40,72.5,85,60,248.1727642276423,24428,rice,0,16,2,15,10.103526230135241
Gaibandha,Kharif 1,Aus,34902,83.64,48.26,43.77,6.63,26.0,12.0,40,72.5,85,60,179.6013888888889,29653,rice,0,17,2,15,10.297352302577972
Gazipur,Kharif 1,Aus,3943,73.96,50.36,39.19,6.29,26.0,12.0,40,72.5,85,60,169.94262295081967,5147,rice,0,18,2,15,8.546363568716018
Gopalganj,Kharif 1,Aus,9664,73.56,49.01,43.67,6.17,26.0,12.0,40,72.5,85,60,155.864898989899,13842,rice,0,19,2,15,9.535534968687735
Jamalpur,Kharif 1,Aus,9975,81.31,50.44,39.54,6.51,26.0,12.0,40,72.5,85,60,181.08838383838383,9157,rice,0,21,2,15,9.12238309321704
Jhallokati,Kharif 1,Aus,39679,81.55,49.52,39.05,6.67,26.0,12.0,40,72.5,85,60,175.42564102564103,42484,rice,0,23,2,15,10.656906351437641
Joypurhat,Kharif 1,Aus,1038,81.0,42.35,40.05,6.62,26.0,12.0,40,72.5,85,60,142.85416666666666,980,rice,0,25,2,15,6.8885724595653635
Khagrachari,Kharif 1,Aus,11154,81.29,49.04,38.45,6.49,26.0,12.0,40,72.5,85,60,204.11111111111111,11256,rice,0,26,2,15,9.328745436354804
Khulna,Kharif 1,Aus,9017,76.47,51.5,39.47,6.16,26.0,12.0,40,72.5,85,60,144.96843434343435,4942,rice,0,27,2,15,8.505727713306959
Kurigram,Kharif 1,Aus,16357,82.16,50.3,34.78,6.63,26.0,12.0,40,72.5,85,60,179.6013888888889,13802,rice,0,29,2,15,9.532641238823578
Lalmonirhat,Kharif 1,Aus,27851,75.22,52.26,37.11,6.37,26.0,12.0,40,72.5,85,60,179.6013888888889,28204,rice,0,32,2,15,10.247254546174076
Madaripur,Kharif 1,Aus,4854,83.66,49.7,35.83,6.23,26.0,12.0,40,72.5,85,60,160.41666666666666,3324,rice,0,33,2,15,8.109224953089955
Magura,Kharif 1,Aus,14520,85.44,47.8,35.58,6.41,26.0,12.0,40,72.5,85,60,134.2247474747475,12123,rice,0,34,2,15,9.402942238177694
Manikganj,Kharif 1,Aus,8158,75.96,43.01,36.63,6.49,26.0,12.0,40,72.5,85,60,169.94262295081967,6967,rice,0,35,2,15,8.849083518532339
Munshiganj,Kharif 1,Aus,447,83.83,53.78,38.61,6.25,26.0,12.0,40,72.5,85,60,169.94262295081967,401,rice,0,38,2,15,5.996452088619021
Narail,Kharif 1,Aus,22828,76.28,49.15,40.18,6.71,26.0,12.0,40,72.5,85,60,134.2247474747475,19174,rice,0,41,2,15,9.861362626235456
Narayanganj,Kharif 1,Aus,6054,75.63,47.7,39.68,6.72,26.0,12.0,40,72.5,85,60,169.94262295081967,5646,rice,0,42,2,15,8.638879709672837
Narsingdi,Kharif 1,Aus,3735,75.98,52.42,37.01,6.41,26.0,12.0,40,72.5,85,60,169.94262295081967,4071,rice,0,43,2,15,8.311889558230359
Natore,Kharif 1,Aus,24015,79.52,45.8,43.34,6.24,26.0,12.0,40,72.5,85,60,124.92,27651,rice,0,44,2,15,10.227453337065155
Netrokona,Kharif 1,Aus,3609,81.53,48.14,44.19,6.03,26.0,12.0,40,72.5,85,60,181.08838383838383,3470,rice,0,45,2,15,8.152198015861787
Nilphamari,Kharif 1,Aus,4312,81.22,45.46,35.84,6.15,26.0,12.0,40,72.5,85,60,179.6013888888889,3565,rice,0,46,2,15,8.179199798423086
Panchagar,Kharif 1,Aus,6020,86.86,47.47,37.56,6.45,26.0,12.0,40,72.5,85,60,154.21843434343435,6185,rice,0,49,2,15,8.730043953245016
Pirojpur,Kharif 1,Aus,33909,92.93,45.6,38.13,6.0,26.0,12.0,40,72.5,85,60,175.42564102564103,32164,rice,0,51,2,15,10.3786341838451
Rajbari,Kharif 1,Aus,6411,82.89,43.57,45.05,6.2,26.0,12.0,40,72.5,85,60,155.864898989899,4485,rice,0,52,2,15,8.408716715080153
Rangamati,Kharif 1,Aus,14523,74.76,43.28,40.38,6.49,26.0,12.0,40,72.5,85,60,204.11111111111111,9091,rice,0,54,2,15,9.115150184972434
Satkhira,Kharif 1,Aus,19706,78.82,47.82,42.52,6.54,26.0,12.0,40,72.5,85,60,140.35353535353536,22530,rice,0,56,2,15,10.022647417705386
Shariatpur,Kharif 1,Aus,30842,83.31,43.42,38.52,6.75,26.0,12.0,40,72.5,85,60,155.864898989899,30321,rice,0,57,2,15,10.319628800641526
Sherpur,Kharif 1,Aus,12847,82.16,46.7,37.92,6.39,26.0,12.0,40,72.5,85,60,181.08838383838383,12190,rice,0,58,2,15,9.408453253565146
Sirajganj,Kharif 1,Aus,25932,79.54,45.43,40.06,6.44,26.0,12.0,40,72.5,85,60,142.85416666666666,27070,rice,0,59,2,15,10.206218323189427
Tangail,Kharif 1,Aus,2964,77.75,42.23,36.1,6.03,26.0,12.0,40,72.5,85,60,153.4104938271605,2569,rice,0,62,2,15,7.851661177889265
Bagerhat,Rabi,Banana,2077,101.52,81.22,49.83,5.96,25.0,15.0,35,80.0,85,75,144.96843434343435,8637,banana,2,0,3,0,9.063926353520646
Bandarban,Rabi,Banana,3830,92.74,85.31,49.82,6.08,25.0,15.0,35,80.0,85,75,243.94444444444449,18430,banana,2,1,3,0,9.821789308551622
Barguna,Rabi,Banana,305,101.27,83.06,55.97,5.86,25.0,15.0,35,80.0,85,75,207.8076923076923,1397,banana,2,2,3,0,7.242797922793756
Barishal,Rabi,Banana,1760,102.55,78.31,45.89,5.97,25.0,15.0,35,80.0,85,75,175.42564102564103,5781,banana,2,3,3,0,8.662504922576291
Bhola,Rabi,Banana,563,94.91,80.44,51.57,6.11,25.0,15.0,35,80.0,85,75,185.23090277777777,2039,banana,2,4,3,0,7.620705086838262
Bogura,Rabi,Banana,2572,101.15,78.09,54.52,6.54,25.0,15.0,35,80.0,85,75,142.85416666666666,20335,banana,2,5,3,0,9.920147993429236
Brahmanbaria,Rabi,Banana,269,100.58,87.3,56.87,6.12,25.0,15.0,35,80.0,85,75,185.7563131313132,1030,banana,2,6,3,0,6.93828448401696
Chandpur,Rabi,Banana,990,93.36,82.11,48.84,5.83,25.0,15.0,35,80.0,85,75,168.796875,5131,banana,2,7,3,0,8.543250725735527
Chapai Nawabganj,Rabi,Banana,419,102.38,91.36,51.53,5.9,25.0,15.0,35,80.0,85,75,124.92,3395,banana,2,8,3,0,8.130353547431238
Chattogram,Rabi,Banana,2961,103.6,81.71,51.76,5.9,25.0,15.0,35,80.0,85,75,243.94444444444449,14513,banana,2,9,3,0,9.582868979838082
Chuadanga,Rabi,Banana,1813,106.74,78.52,50.64,5.66,25.0,15.0,35,80.0,85,75,129.44444444444446,17999,banana,2,10,3,0,9.798127036878302
CoxsBazar,Rabi,Banana,854,106.57,74.56,49.75,5.92,25.0,15.0,35,80.0,85,75,303.40277777777777,2315,banana,2,11,3,0,7.7475968386928855
Cumilla,Rabi,Banana,849,91.94,73.14,51.36,6.11,25.0,15.0,35,80.0,85,75,185.7563131313132,3930,banana,2,12,3,0,8.27664912542186
Dhaka,Rabi,Banana,588,94.59,74.22,42.45,5.75,25.0,15.0,35,80.0,85,75,169.94262295081967,4075,banana,2,13,3,0,8.312871394342615
Dinajpur,Rabi,Banana,2772,103.33,83.32,52.1,6.17,25.0,15.0,35,80.0,85,75,154.21843434343435,28912,banana,2,14,3,0,10.272046599948313
Faridpur,Rabi,Banana,202,103.32,84.51,50.43,6.07,25.0,15.0,35,80.0,85,75,155.864898989899,624,banana,2,15,3,0,6.437751649736401
Feni,Rabi,Banana,483,103.33,74.23,49.38,5.85,25.0,15.0,35,80.0,85,75,248.1727642276423,2155,banana,2,16,3,0,7.6760099320288875
Gazipur,Rabi,Banana,1499,103.66,79.63,48.02,6.27,25.0,15.0,35,80.0,85,75,169.94262295081967,9163,banana,2,18,3,0,9.123038043573386
Gopalganj,Rabi,Banana,909,107.06,82.73,48.84,6.11,25.0,15.0,35,80.0,85,75,155.864898989899,5384,banana,2,19,3,0,8.591372589590488
Habiganj,Rabi,Banana,279,105.97,89.94,56.03,5.98,25.0,15.0,35,80.0,85,75,333.72557471264366,775,banana,2,20,3,0,6.654152520183219
Jamalpur,Rabi,Banana,1324,104.15,86.42,47.55,5.94,25.0,15.0,35,80.0,85,75,181.08838383838383,7323,banana,2,21,3,0,8.898911905794401
Jashore,Rabi,Banana,1973,98.33,80.69,48.4,5.99,25.0,15.0,35,80.0,85,75,134.2247474747475,10150,banana,2,22,3,0,9.225327501784431
Jhallokati,Rabi,Banana,2910,104.79,77.62,49.61,5.89,25.0,15.0,35,80.0,85,75,175.42564102564103,9500,banana,2,23,3,0,9.15915233520675
Joypurhat,Rabi,Banana,416,98.81,78.47,50.67,6.35,25.0,15.0,35,80.0,85,75,142.85416666666666,3055,banana,2,25,3,0,8.024862150286411
Khagrachari,Rabi,Banana,7462,97.31,80.97,46.17,6.01,25.0,15.0,35,80.0,85,75,204.11111111111111,26938,banana,2,26,3,0,10.201330329750538
Khulna,Rabi,Banana,305,100.72,77.15,48.45,6.05,25.0,15.0,35,80.0,85,75,144.96843434343435,5123,banana,2,27,3,0,8.541690663016626
Kishoreganj,Rabi,Banana,1536,114.15,81.36,48.23,5.97,25.0,15.0,35,80.0,85,75,181.08838383838383,11557,banana,2,28,3,0,9.355133116877724
Kurigram,Rabi,Banana,520,89.0,82.39,49.82,5.85,25.0,15.0,35,80.0,85,75,179.6013888888889,5296,banana,2,29,3,0,8.574895901544526
Kushtia,Rabi,Banana,1760,104.36,80.9,51.33,5.95,25.0,15.0,35,80.0,85,75,129.44444444444446,36962,banana,2,30,3,0,10.517672691292779
Lakshmipur,Rabi,Banana,3250,90.53,78.81,51.31,5.69,25.0,15.0,35,80.0,85,75,185.7563131313132,12432,banana,2,31,3,0,9.428109506952937
Lalmonirhat,Rabi,Banana,277,97.39,82.84,44.72,6.39,25.0,15.0,35,80.0,85,75,179.6013888888889,3001,banana,2,32,3,0,8.007034012193408
Madaripur,Rabi,Banana,1584,106.78,84.18,53.25,5.76,25.0,15.0,35,80.0,85,75,160.41666666666666,12195,banana,2,33,3,0,9.408863308108145
Magura,Rabi,Banana,563,100.62,76.64,50.81,5.79,25.0,15.0,35,80.0,85,75,134.2247474747475,14819,banana,2,34,3,0,9.603732898850078
Manikganj,Rabi,Banana,601,93.75,88.95,54.21,5.9,25.0,15.0,35,80.0,85,75,169.94262295081967,1966,banana,2,35,3,0,7.584264818389059
Meherpur,Rabi,Banana,2432,95.93,81.52,51.38,6.21,25.0,15.0,35,80.0,85,75,129.44444444444446,37399,banana,2,36,3,0,10.529425983402623
Moulvibazar,Rabi,Banana,269,104.32,82.1,53.36,5.98,25.0,15.0,35,80.0,85,75,333.72557471264366,1423,banana,2,37,3,0,7.261225091971921
Munshiganj,Rabi,Banana,170,95.84,85.49,51.45,5.76,25.0,15.0,35,80.0,85,75,169.94262295081967,647,banana,2,38,3,0,6.473890696352274
Mymensingh,Rabi,Banana,5325,101.53,83.16,54.09,6.21,25.0,15.0,35,80.0,85,75,181.08838383838383,36200,banana,2,39,3,0,10.49684202174171
Naogaon,Rabi,Banana,1631,100.5,86.7,51.62,6.11,25.0,15.0,35,80.0,85,75,124.92,13864,banana,2,40,3,0,9.537122958049878
Narail,Rabi,Banana,638,96.31,83.42,49.76,6.08,25.0,15.0,35,80.0,85,75,134.2247474747475,4394,banana,2,41,3,0,8.388222810119277
Narayanganj,Rabi,Banana,195,113.12,79.0,56.87,6.11,25.0,15.0,35,80.0,85,75,169.94262295081967,1000,banana,2,42,3,0,6.90875477931522
Narsingdi,Rabi,Banana,3677,104.04,83.79,52.72,6.41,25.0,15.0,35,80.0,85,75,169.94262295081967,25074,banana,2,43,3,0,10.129626612830137
Natore,Rabi,Banana,856,88.05,76.38,51.77,6.37,25.0,15.0,35,80.0,85,75,124.92,14360,banana,2,44,3,0,9.57227147806062
Netrokona,Rabi,Banana,804,101.35,82.54,46.22,5.86,25.0,15.0,35,80.0,85,75,181.08838383838383,4588,banana,2,45,3,0,8.431417414394833
Nilphamari,Rabi,Banana,439,96.25,81.85,46.18,6.27,25.0,15.0,35,80.0,85,75,179.6013888888889,3672,banana,2,46,3,0,8.208764045819667
Noakhali,Rabi,Banana,1212,105.36,80.99,50.93,6.05,25.0,15.0,35,80.0,85,75,185.7563131313132,3493,banana,2,47,3,0,8.158802490694002
Pabna,Rabi,Banana,756,95.46,81.38,50.49,6.07,25.0,15.0,35,80.0,85,75,124.92,5564,banana,2,48,3,0,8.624252263709645
Panchagar,Rabi,Banana,402,99.54,72.75,48.21,5.68,25.0,15.0,35,80.0,85,75,154.21843434343435,5070,banana,2,49,3,0,8.531293315795018
Patuakhali,Rabi,Banana,561,103.27,79.31,50.47,5.95,25.0,15.0,35,80.0,85,75,207.8076923076923,1885,banana,2,50,3,0,7.542213463193403
Pirojpur,Rabi,Banana,2786,105.44,82.47,54.82,5.83,25.0,15.0,35,80.0,85,75,175.42564102564103,13454,banana,2,51,3,0,9.507106063161006
Rajbari,Rabi,Banana,1071,93.01,82.8,52.14,6.13,25.0,15.0,35,80.0,85,75,155.864898989899,6258,banana,2,52,3,0,8.7417757069247
Rangamati,Rabi,Banana,9230,97.37,88.24,49.72,5.61,25.0,15.0,35,80.0,85,75,204.11111111111111,42734,banana,2,54,3,0,10.662773535600119
Rangpur,Rabi,Banana,2321,96.3,77.75,47.63,5.98,25.0,15.0,35,80.0,85,75,179.6013888888889,13041,banana,2,55,3,0,9.475930197953147
Satkhira,Rabi,Banana,995,110.85,86.78,48.89,6.18,25.0,15.0,35,80.0,85,75,140.35353535353536,6240,banana,2,56,3,0,8.738895704934043
Shariatpur,Rabi,Banana,413,102.67,84.11,48.81,5.95,25.0,15.0,35,80.0,85,75,155.864898989899,1563,banana,2,57,3,0,7.355001921105257
Sherpur,Rabi,Banana,623,92.65,78.83,48.62,6.11,25.0,15.0,35,80.0,85,75,181.08838383838383,3480,banana,2,58,3,0,8.15507488781144
Sirajganj,Rabi,Banana,583,105.75,90.75,46.28,6.04,25.0,15.0,35,80.0,85,75,142.85416666666666,4354,banana,2,59,3,0,8.379079889286603
Sunamganj,Rabi,Banana,325,112.99,76.14,49.67,6.04,25.0,15.0,35,80.0,85,75,333.72557471264366,1949,banana,2,60,3,0,7.575584651557793
Sylhet,Rabi,Banana,855,106.44,86.53,48.37,5.93,25.0,15.0,35,80.0,85,75,333.72557471264366,3341,banana,2,61,3,0,8.114324709155339
Thakurgaon,Rabi,Banana,1161,97.32,78.71,56.22,5.78,25.0,15.0,35,80.0,85,75,154.21843434343435,5855,banana,2,63,3,0,8.675222055641148
Bagerhat,Kharif 2,Barbati,457,22.33,73.18,21.36,5.87,25.0,20.0,30,72.5,85,60,144.96843434343435,545,kidneybeans,1,0,4,5,6.302618975744905
Bandarban,Kharif 2,Barbati,318,19.87,66.53,19.6,5.75,25.0,20.0,30,72.5,85,60,243.94444444444449,414,kidneybeans,1,1,4,5,6.028278520230698
Barguna,Kharif 2,Barbati,89,21.3,68.71,20.07,5.73,25.0,20.0,30,72.5,85,60,207.8076923076923,129,kidneybeans,1,2,4,5,4.867534450455582
Barishal,Kharif 2,Barbati,325,21.71,68.59,18.64,5.68,25.0,20.0,30,72.5,85,60,175.42564102564103,438,kidneybeans,1,3,4,5,6.0844994130751715
Bhola,Kharif 2,Barbati,243,19.6,67.0,22.09,5.7,25.0,20.0,30,72.5,85,60,185.23090277777777,477,kidneybeans,1,4,4,5,6.169610732491456
Bogura,Kharif 2,Barbati,296,20.68,70.83,22.33,5.93,25.0,20.0,30,72.5,85,60,142.85416666666666,605,kidneybeans,1,5,4,5,6.406879986069314
Brahmanbaria,Kharif 2,Barbati,207,16.71,70.76,20.24,5.69,25.0,20.0,30,72.5,85,60,185.7563131313132,322,kidneybeans,1,6,4,5,5.777652323222656
Chandpur,Kharif 2,Barbati,82,19.47,60.45,21.28,5.52,25.0,20.0,30,72.5,85,60,168.796875,53,kidneybeans,1,7,4,5,3.9889840465642745
Chapai Nawabganj,Kharif 2,Barbati,85,20.44,72.83,20.26,5.88,25.0,20.0,30,72.5,85,60,124.92,95,kidneybeans,1,8,4,5,4.564348191467836
Chattogram,Kharif 2,Barbati,1497,19.2,60.8,18.44,5.71,25.0,20.0,30,72.5,85,60,243.94444444444449,2899,kidneybeans,1,9,4,5,7.9724660159745655
Chuadanga,Kharif 2,Barbati,638,22.78,71.72,19.55,5.76,25.0,20.0,30,72.5,85,60,129.44444444444446,1585,kidneybeans,1,10,4,5,7.368970402194793
CoxsBazar,Kharif 2,Barbati,304,18.97,72.11,20.21,6.03,25.0,20.0,30,72.5,85,60,303.40277777777777,617,kidneybeans,1,11,4,5,6.42648845745769
Cumilla,Kharif 2,Barbati,440,20.2,63.12,19.5,5.75,25.0,20.0,30,72.5,85,60,185.7563131313132,878,kidneybeans,1,12,4,5,6.778784897685177
Dhaka,Kharif 2,Barbati,587,20.91,65.88,19.79,5.8,25.0,20.0,30,72.5,85,60,169.94262295081967,924,kidneybeans,1,13,4,5,6.829793737512425
Dinajpur,Kharif 2,Barbati,267,22.54,63.06,19.94,5.55,25.0,20.0,30,72.5,85,60,154.21843434343435,312,kidneybeans,1,14,4,5,5.746203190540153
Faridpur,Kharif 2,Barbati,241,18.96,66.67,19.95,5.71,25.0,20.0,30,72.5,85,60,155.864898989899,377,kidneybeans,1,15,4,5,5.934894195619588
Feni,Kharif 2,Barbati,115,22.2,66.29,20.11,5.86,25.0,20.0,30,72.5,85,60,248.1727642276423,124,kidneybeans,1,16,4,5,4.8283137373023015
Gaibandha,Kharif 2,Barbati,153,20.76,70.7,18.77,5.48,25.0,20.0,30,72.5,85,60,179.6013888888889,185,kidneybeans,1,17,4,5,5.225746673713202
Gazipur,Kharif 2,Barbati,253,19.53,72.85,19.19,5.78,25.0,20.0,30,72.5,85,60,169.94262295081967,291,kidneybeans,1,18,4,5,5.676753802268282
Gopalganj,Kharif 2,Barbati,195,21.33,73.2,18.5,5.77,25.0,20.0,30,72.5,85,60,155.864898989899,350,kidneybeans,1,19,4,5,5.860786223465865
Habiganj,Kharif 2,Barbati,215,21.0,65.26,21.23,5.76,25.0,20.0,30,72.5,85,60,333.72557471264366,767,kidneybeans,1,20,4,5,6.643789733147672
